,entry1,entry2,arrow,hsa
0,73,75,compound,hsa00010
1,73,74,compound,hsa00010
2,73,76,compound,hsa00010
3,70,73,compound,hsa00010
4,69,73,compound,hsa00010
5,68,70,compound,hsa00010
6,68,69,compound,hsa00010
7,66,76,compound,hsa00010
8,71,76,compound,hsa00010
9,67,76,compound,hsa00010
10,66,75,compound,hsa00010
11,66,74,compound,hsa00010
12,66,67,compound,hsa00010
13,71,75,compound,hsa00010
14,67,75,compound,hsa00010
15,71,74,compound,hsa00010
16,67,74,compound,hsa00010
17,67,71,compound,hsa00010
18,64,66,compound,hsa00010
19,63,66,compound,hsa00010
20,18,64,compound,hsa00010
21,18,63,compound,hsa00010
22,62,18,compound,hsa00010
23,61,80,compound,hsa00010
24,60,80,compound,hsa00010
25,59,60,compound,hsa00010
26,53,54,compound,hsa00010
27,53,79,compound,hsa00010
28,54,79,compound,hsa00010
29,42,50,compound,hsa00010
30,44,50,compound,hsa00010
31,42,49,compound,hsa00010
32,44,49,compound,hsa00010
33,57,59,compound,hsa00010
34,64,68,compound,hsa00010
35,63,68,compound,hsa00010
36,55,57,compound,hsa00010
37,52,57,compound,hsa00010
38,52,55,compound,hsa00010
39,70,71,compound,hsa00010
40,69,71,compound,hsa00010
41,67,47,compound,hsa00010
42,67,46,compound,hsa00010
43,66,46,compound,hsa00010
44,76,46,compound,hsa00010
45,75,46,compound,hsa00010
46,74,46,compound,hsa00010
47,71,46,compound,hsa00010
48,54,58,compound,hsa00010
49,80,138,compound,hsa00010
50,61,138,compound,hsa00010
51,137,80,compound,hsa00010
52,137,60,compound,hsa00010
53,117,59,compound,hsa00010
54,117,57,compound,hsa00010
55,55,126,compound,hsa00010
56,58,117,compound,hsa00010
57,60,46,compound,hsa00010
58,59,46,compound,hsa00010
59,52,46,compound,hsa00010
60,55,46,compound,hsa00010
61,57,46,compound,hsa00010
62,62,61,compound,hsa00010
63,18,62,compound,hsa00010
64,18,61,compound,hsa00010
65,18,46,compound,hsa00010
66,46,61,compound,hsa00010
67,46,62,compound,hsa00010
68,138,137,compound,hsa00010
69,140,42,compound,hsa00010
70,140,44,compound,hsa00010
71,140,54,compound,hsa00010
72,140,58,compound,hsa00010
73,144,68,compound,hsa00010
74,144,71,compound,hsa00010
75,73,143,compound,hsa00010
76,73,144,compound,hsa00010
77,143,71,compound,hsa00010
78,143,66,compound,hsa00010
79,143,46,compound,hsa00010
80,143,67,compound,hsa00010
81,138,150,compound,hsa00010
82,137,150,compound,hsa00010
83,60,150,compound,hsa00010
84,150,59,compound,hsa00010
85,150,46,compound,hsa00010
86,80,151,compound,hsa00010
87,137,151,compound,hsa00010
88,60,151,compound,hsa00010
89,84,48,compound,hsa00020
90,84,50,compound,hsa00020
91,48,50,compound,hsa00020
92,51,52,compound,hsa00020
93,51,94,compound,hsa00020
94,51,53,compound,hsa00020
95,51,91,compound,hsa00020
96,51,46,compound,hsa00020
97,51,42,compound,hsa00020
98,52,94,compound,hsa00020
99,52,53,compound,hsa00020
100,52,91,compound,hsa00020
101,52,46,compound,hsa00020
102,52,42,compound,hsa00020
103,94,53,compound,hsa00020
104,94,91,compound,hsa00020
105,94,46,compound,hsa00020
106,94,42,compound,hsa00020
107,53,91,compound,hsa00020
108,53,46,compound,hsa00020
109,53,42,compound,hsa00020
110,91,46,compound,hsa00020
111,91,42,compound,hsa00020
112,49,59,compound,hsa00020
113,49,47,compound,hsa00020
114,49,42,compound,hsa00020
115,49,46,compound,hsa00020
116,49,48,compound,hsa00020
117,49,97,compound,hsa00020
118,59,47,compound,hsa00020
119,59,42,compound,hsa00020
120,59,46,compound,hsa00020
121,59,48,compound,hsa00020
122,59,97,compound,hsa00020
123,47,42,compound,hsa00020
124,47,46,compound,hsa00020
125,47,48,compound,hsa00020
126,47,97,compound,hsa00020
127,42,48,compound,hsa00020
128,42,97,compound,hsa00020
129,46,48,compound,hsa00020
130,46,97,compound,hsa00020
131,48,97,compound,hsa00020
132,47,43,compound,hsa00020
133,43,57,compound,hsa00020
134,43,111,compound,hsa00020
135,43,107,compound,hsa00020
136,57,111,compound,hsa00020
137,57,107,compound,hsa00020
138,111,107,compound,hsa00020
139,107,38,compound,hsa00020
140,107,37,compound,hsa00020
141,38,58,compound,hsa00020
142,38,36,compound,hsa00020
143,37,58,compound,hsa00020
144,37,36,compound,hsa00020
145,58,36,compound,hsa00020
146,36,35,compound,hsa00020
147,36,33,compound,hsa00020
148,33,35,compound,hsa00020
149,34,60,compound,hsa00020
150,34,55,compound,hsa00020
151,34,54,compound,hsa00020
152,34,40,compound,hsa00020
153,34,39,compound,hsa00020
154,60,55,compound,hsa00020
155,60,54,compound,hsa00020
156,60,40,compound,hsa00020
157,60,39,compound,hsa00020
158,55,54,compound,hsa00020
159,55,40,compound,hsa00020
160,55,39,compound,hsa00020
161,54,40,compound,hsa00020
162,54,39,compound,hsa00020
163,40,39,compound,hsa00020
164,44,41,compound,hsa00020
165,44,40,compound,hsa00020
166,41,40,compound,hsa00020
167,46,45,compound,hsa00020
168,42,45,compound,hsa00020
169,89,86,compound,hsa00020
170,86,84,compound,hsa00020
171,91,86,compound,hsa00020
172,89,91,compound,hsa00020
173,97,50,compound,hsa00020
174,34,113,compound,hsa00020
175,60,113,compound,hsa00020
176,55,113,compound,hsa00020
177,54,113,compound,hsa00020
178,113,40,compound,hsa00020
179,113,39,compound,hsa00020
180,122,107,compound,hsa00020
181,122,38,compound,hsa00020
182,122,37,compound,hsa00020
183,67,69,compound,hsa00030
184,61,62,compound,hsa00030
185,62,67,compound,hsa00030
186,61,67,compound,hsa00030
187,62,63,compound,hsa00030
188,42,63,compound,hsa00030
189,53,61,compound,hsa00030
190,52,61,compound,hsa00030
191,52,53,compound,hsa00030
192,51,52,compound,hsa00030
193,50,52,compound,hsa00030
194,49,52,compound,hsa00030
195,52,83,compound,hsa00030
196,48,52,compound,hsa00030
197,50,51,compound,hsa00030
198,49,51,compound,hsa00030
199,51,83,compound,hsa00030
200,48,51,compound,hsa00030
201,49,50,compound,hsa00030
202,50,83,compound,hsa00030
203,48,50,compound,hsa00030
204,48,49,compound,hsa00030
205,48,83,compound,hsa00030
206,51,82,compound,hsa00030
207,54,82,compound,hsa00030
208,54,58,compound,hsa00030
209,56,58,compound,hsa00030
210,57,58,compound,hsa00030
211,54,56,compound,hsa00030
212,54,57,compound,hsa00030
213,55,56,compound,hsa00030
214,55,57,compound,hsa00030
215,54,55,compound,hsa00030
216,47,55,compound,hsa00030
217,47,54,compound,hsa00030
218,45,47,compound,hsa00030
219,46,47,compound,hsa00030
220,45,46,compound,hsa00030
221,42,74,compound,hsa00030
222,58,74,compound,hsa00030
223,48,76,compound,hsa00030
224,48,79,compound,hsa00030
225,48,78,compound,hsa00030
226,76,79,compound,hsa00030
227,76,78,compound,hsa00030
228,78,79,compound,hsa00030
229,55,74,compound,hsa00030
230,54,74,compound,hsa00030
231,47,74,compound,hsa00030
232,98,44,compound,hsa00030
233,57,82,compound,hsa00030
234,56,82,compound,hsa00030
235,54,82,compound,hsa00030
236,58,82,compound,hsa00030
237,54,53,compound,hsa00030
238,53,51,compound,hsa00030
239,55,51,compound,hsa00030
240,55,82,compound,hsa00030
241,47,51,compound,hsa00030
242,47,82,compound,hsa00030
243,74,51,compound,hsa00030
244,74,82,compound,hsa00030
245,51,82,compound,hsa00030
246,82,54,compound,hsa00030
247,62,110,compound,hsa00030
248,110,67,compound,hsa00030
249,110,61,compound,hsa00030
250,42,110,compound,hsa00030
251,63,110,compound,hsa00030
252,61,75,compound,hsa00030
253,53,75,compound,hsa00030
254,52,75,compound,hsa00030
255,63,74,compound,hsa00030
256,62,175,compound,hsa00030
257,175,67,compound,hsa00030
258,175,110,compound,hsa00030
259,52,175,compound,hsa00030
260,53,175,compound,hsa00030
